#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
325110:7333,10/23/18 05:48:34,14,HLT_IsoMu24_v13,0.002969580,0.002841397
325117:7333,10/23/18 07:39:08,531,HLT_IsoMu24_v13,0.087981777,0.085216987
325159:7334,10/23/18 14:38:00,208,HLT_IsoMu24_v13,0.065326897,0.061440392
325168:7334,10/23/18 16:09:33,18,HLT_IsoMu24_v13,0.005526927,0.004288882
325169:7334,10/23/18 16:19:28,23,HLT_IsoMu24_v13,0.006960336,0.005577657
325170:7334,10/23/18 16:31:17,1203,HLT_IsoMu24_v13,0.272476997,0.263143736
325172:7334,10/24/18 00:23:24,472,HLT_IsoMu24_v13,0.069745349,0.067635936
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_IsoMu24_v13,100,252,125764,33.104901157,31.833472186
#
#Sum delivered  : 33.104901157
#Sum recorded : 31.833472186
#Check JSON:
#(run,ls) in json but not in results: []
